IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"48
a obé toto číslování už dále nebylo používáno (při defini-
tivním očíslování objektů v sondě 2a 2c obdržela tato
objektová čísla VI a VII obě výše popsaná ohniště, zjištěná
ve vnitřním příkopě v sondě 2b při její JZ stěně);
2-8;
c) plány č.:
21:42, 22-24
d) fototabulky č.: 1, 2, 4, 5:10, 6, 7:13, 9:18, 10-14, 15:29, 16-18, 19:38, 20:39,
e) obrázky s nálezy č.: 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25;
29:7, 8.
Datování:
1
11) poznámka:
objev části základů velké budovy na kamenné podezdívce, v jejímž
areálu se nalezly mimořádné nálezy svědčící pro přítomnost du-
chovních (hliněné aquamanile v podobě beránka, železné psací
rydlo - stilus), jakož i objev dobře zachovaných zbytků opevnění,
byly důvodem k rozšíření sondy a pokračování archeologického
výzkumu v areálu pravděpodobného kněžského domu v letech 1975,
1976 a 1978.
pravděpodobný kněžský dům datují nálezy z vrstvy 3, zejména z jejího
spodního horizontu po úroveň destrukčních kamenů z likvidačního ho-
rizontu stavby. Je to zejména keramika vyspělého středohradištního
rázu, např. typické hrncovité tvary rázu vyspělé střední doby hra-
dištní s vývalky na plecích a také tzv. keramika slavníkovské fáze,
tj. zejména hrnce s dominantním ornamentem v podhrdlí a na těle
pokryté vodorovnými rýhami. Soudím proto, že pravděpodobný kněžský
dům byl postaven v 1. polovině 10. století, fungoval i ve slavníkov-
ském období, a (podle stratigrafických pozorování ve vztahu k dest-
rukci vnitřní hradební zdi) nedožil konce slavníkovské éry.
Interpretace a rekonstrukce:
bude uvedena v nálezové zprávě o sezóně 1975.
Vnitřní příkop opevnění:
Nálezové situace (tj. sáčky) číslo:
Jmenovitě pouze sáčky č. 148/74, 163/74 a 165/74.
Vysvětlení: nálezy z vnitřního příkopu jsou přiřazeny k vrstvá,"	cs	(160, 39)	(1181, 39)	(1181, 1578)	(160, 1578)
image	48		(562, 39)	(593, 39)	(593, 56)	(562, 56)
image	a		(251, 158)	(264, 158)	(264, 180)	(251, 180)
image	obé		(281, 158)	(322, 158)	(322, 180)	(281, 180)
image	toto		(341, 158)	(398, 158)	(398, 180)	(341, 180)
image	číslování		(414, 158)	(545, 158)	(545, 180)	(414, 180)
image	už		(564, 158)	(589, 158)	(589, 180)	(564, 180)
image	dále		(608, 158)	(665, 158)	(665, 180)	(608, 180)
image	nebylo		(684, 158)	(769, 158)	(769, 180)	(684, 180)
image	používáno		(786, 158)	(915, 158)	(915, 180)	(786, 180)
image	(		(935, 158)	(943, 158)	(943, 180)	(935, 180)
image	při		(948, 158)	(992, 158)	(992, 180)	(948, 180)
image	defini		(1009, 158)	(1094, 158)	(1094, 180)	(1009, 180)
