IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"94-
a komenta'F
Texty k fototabulkám
Sonda 2a -> 2d (1974) str. 2
Tab. 4:8. č. neg. 51 108. Sonda 2a-2c (1974). V popředí
destrukční suti budovy orientované V-Z. Stav po odstranění de-
strukce vnitřní hradební zdi, jež ponechána na kontrolním blo-
ku (v pozadí). Pohled od SV.
Tab. 5:9, č. neg. 51 109. Sonda 2a (1974). Pohled do
vnitřního příkopu opevnění (od SSZ).
Tab. 5:10, č. neg. 51 110a, b. Sonda 2a, 2c (1974).
Vpředu (sonda 2a) část jižní podezdívky orientované budovy,
s destrukčními sutěmi v okolí. Vzadu začištěn povrch suti
vnitřní hradební zdi. Pohled od V.
Tab. 6:11, č. neg. 51 111a, b. Sonda 2a-2c (1974). Část
základu jižní podezdívky budovy orientované V-Z, s destrukční-
mi sutěmi okolo. Na rozhraní sond 2a a 2c JV část ohniště č.
III, podloženého opukovými placáky. Pohled od Z.
Tab. 6:12, č. neg. 51 112. Sonda 2a, 2c (1974). JV půle
ohniště č. III (podloženého opukovými placáky) na rozhraní
sond 2a a 2c. Pohled od V.
Tab. 7:13, č. neg. 51 113a, b. Sonda 2a, 2c (1974).
JV půle ohniště č. III (podloženého opukovými placáky) na roz-
hraní sond 2a a 2c. Pohled od Sv.
Tab. 7:14, č. neg. 51 114a, b. Sonda 2a-2c (1974). Pohled
do vnitřního příkopu opevnění (na kontrolním bloku uprostřed
zachována destrukce vnitřní hradební zdi; vzadu v sondě 2c
tato destrukce skrývána). Pohled od JV.
Tab. 8:15, č. neg. 51 115a, b. Sonda 2c (1974). Pohled
od SV. Vpředu dosažen povrch vrstvy 10.století. Vzadu povrch
destrukce vnitřní hradební zdi, do něhož při JZ stěně sondy
zahloubena polozemnice (?) I a polozemnice (??) II.
Tab. 8:16, č. neg. 51 116. Sonda 2c (1974). Povrch de-
strukce vnitřní hradební zdi v západním rohu sondy 2c. Pohled
od SSZ. Z horního horizontu destrukce vnitřní hradební zdi vy-
zvednut zásyp části polozemnice (??) II v sondě 2c.
Tab. 9:17, č. neg. 51 117a, b. Sonda 2c (1974). Destruk-
ce vnitřní hradební zdi (snímání). Pohled od SV. V Z rohu sondy
2c vyzvednut zásyp části polozemnice (?) I v sondě 2c."	cs	(186, 7)	(1133, 7)	(1133, 1505)	(186, 1505)
image	94		(546, 36)	(574, 37)	(574, 53)	(546, 52)
image	a		(758, 9)	(772, 9)	(772, 24)	(758, 24)
image	komenta'F		(784, 8)	(892, 7)	(892, 23)	(784, 24)
image	Texty		(708, 28)	(781, 28)	(781, 50)	(708, 50)
image	k		(797, 28)	(811, 28)	(811, 49)	(797, 49)
image	fototabulkám		(827, 27)	(1002, 26)	(1002, 48)	(827, 49)
image	Sonda		(708, 51)	(781, 52)	(781, 70)	(708, 69)
image	2a		(797, 53)	(827, 54)	(827, 71)	(797, 70)
image	-		(841, 54)	(858, 54)	(858, 71)	(841, 71)
image	>		(839, 54)	(857, 54)	(857, 71)	(839, 71)
image	2d		(869, 52)	(900, 52)	(900, 73)	(869, 73)
image	(		(917, 52)	(928, 52)	(928, 73)	(917, 73)
image	1974		(929, 52)	(988, 53)	(988, 75)	(929, 74)
image	)		(990, 53)	(1001, 53)	(1001, 74)	(990, 74)
image	str		(1048, 56)	(1090, 56)	(1090, 72)	(1048, 72)
image	.		(1094, 56)	(1103, 56)	(1103, 72)	(1094, 72)
image	2		(1119, 56)	(1133, 56)	(1133, 72)	(1119, 72)
image	Tab		(280, 145)	(325, 145)	(325, 171)	(280, 171)
image	.		(327, 145)	(334, 145)	(334, 171)	(327, 171)
image	4		(353, 145)	(368, 145)	(368, 171)	(353, 171)
image	:		(373, 145)	(380, 145)	(380, 171)	(373, 171)
image	8		(384, 145)	(400, 145)	(400, 171)	(384, 171)
image	.		(401, 145)	(409, 145)	(409, 171)	(401, 171)
image	č		(428, 145)	(442, 145)	(442, 171)	(428, 171)
