IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"Tab. 8
15
č. neg.
51 115a, b
Sonda 2c (1974). Pohled od SV. Vpředu dosažen povrch vrstvy
10. století. Vzadu povrch destrukce vnitřní hradební zdi,
do něhož při JZ stěně sondy zahloubena polozemnice (?) I a polozemnice
(22) 11.
Foto J. Justova.
16
č. neg.
51 116
Sonda 2c (1974). Povrch destrukce vnitřní hradební zdi v záp.
rohu sondy 2c. Pohled od SSZ. Z horního horizontu destrukce
vnitřní hradební zdi vyzvednut zasyp časti polozemnice (??) I||
v sondě 2c. Foto J. Justova."	cs	(159, 41)	(1152, 41)	(1152, 1499)	(159, 1499)
image	Tab		(1054, 41)	(1106, 41)	(1106, 62)	(1054, 62)
image	.		(1107, 41)	(1114, 41)	(1114, 62)	(1107, 62)
image	8		(1136, 41)	(1152, 41)	(1152, 62)	(1136, 62)
image	15		(975, 607)	(1004, 608)	(1004, 627)	(975, 626)
image	č		(915, 640)	(929, 641)	(927, 660)	(913, 659)
image	.		(933, 641)	(943, 642)	(941, 661)	(931, 660)
image	neg		(959, 643)	(1004, 647)	(1002, 667)	(957, 663)
image	.		(1006, 648)	(1016, 649)	(1014, 668)	(1004, 667)
image	51		(914, 666)	(945, 666)	(945, 688)	(914, 688)
image	115a		(960, 666)	(1019, 666)	(1019, 688)	(960, 688)
image	,		(1022, 666)	(1029, 666)	(1029, 688)	(1022, 688)
image	b		(1046, 666)	(1061, 666)	(1061, 688)	(1046, 688)
image	Sonda		(163, 709)	(238, 709)	(238, 733)	(163, 733)
image	2c		(253, 709)	(280, 709)	(280, 733)	(253, 733)
image	(		(296, 709)	(309, 709)	(309, 733)	(296, 733)
image	1974		(311, 709)	(366, 709)	(366, 734)	(311, 734)
image	)		(369, 710)	(379, 710)	(379, 734)	(369, 734)
image	.		(388, 710)	(396, 710)	(396, 734)	(388, 734)
image	Pohled		(413, 710)	(503, 711)	(503, 736)	(413, 735)
image	od		(519, 711)	(546, 711)	(546, 735)	(519, 735)
image	SV		(561, 711)	(589, 711)	(589, 735)	(561, 735)
image	.		(595, 711)	(601, 711)	(601, 735)	(595, 735)
image	Vpředu		(619, 711)	(709, 712)	(709, 737)	(619, 736)
image	dosažen		(724, 712)	(824, 713)	(824, 737)	(724, 736)
image	povrch		(841, 713)	(931, 714)	(931, 738)	(841, 737)
image	vrstvy		(943, 713)	(1035, 714)	(1035, 739)	(943, 738)
image	10.		(162, 734)	(203, 734)	(203, 760)	(162, 760)
image	století		(222, 734)	(324, 734)	(324, 760)	(222, 760)
image	.		(328, 734)	(336, 734)	(336, 760)	(328, 760)
image	Vzadu		(351, 734)	(428, 734)	(428, 760)	(351, 760)
image	povrch		(443, 734)	(532, 734)	(532, 760)	(443, 760)
image	destrukce		(546, 734)	(677, 734)	(677, 760)	(546, 760)
image	vnitřní		(693, 734)	(796, 734)	(796, 760)	(693, 760)
image	hradební		(811, 734)	(928, 734)	(928, 760)	(811, 760)
image	zdi		(945, 734)	(988, 734)	(988, 760)	(945, 760)
image	,		(992, 734)	(1000, 734)	(1000, 760)	(992, 760)
image	do		(168, 755)	(194, 755)	(194, 784)	(168, 784)
image	něhož		(207, 755)	(276, 755)	(276, 784)	(207, 784)
image	při		(292, 755)	(325, 755)	(325, 784)	(292, 784)
image	JZ		(338, 755)	(367, 755)	(367, 784)	(338, 784)
image	stěně		(378, 756)	(444, 756)	(444, 785)	(378, 785)
image	sondy		(456, 756)	(523, 756)	(523, 785)	(456, 785)
image	zahloubena		(540, 756)	(676, 757)	(676, 787)	(540, 786)
image	polozemnice		(698, 757)	(839, 758)	(839, 788)	(698, 787)
image	(		(851, 758)	(860, 758)	(860, 787)	(851, 787)
image	?		(863, 758)	(873, 758)	(873, 787)	(863, 787)
image	)		(876, 758)	(885, 758)	(885, 787)	(876, 787)
image	I		(894, 758)	(908, 758)	(908, 787)	(894, 787)
image	a		(922, 758)	(936, 758)	(936, 787)	(922, 787)
image	polozemnice		(950, 758)	(1081, 759)	(1081, 789)	(950, 788)
image	(		(166, 783)	(178, 783)	(178, 803)	(166, 803)
image	22		(176, 783)	(200, 783)	(200, 803)	(176, 803)
image	)		(200, 783)	(213, 783)	(213, 803)	(200, 803)
image	11		(220, 783)	(236, 783)	(236, 803)	(220, 803)
image	.		(233, 783)	(239, 783)	(239, 803)	(233, 803)
image	Foto		(916, 786)	(966, 786)	(966, 807)	(916, 807)
image	J.		(977, 786)	(997, 786)	(997, 807)	(977, 807)
image	Justova		(999, 786)	(1103, 786)	(1103, 807)	(999, 807)
image	.		(1106, 786)	(1115, 786)	(1115, 807)	(1106, 807)
image	16		(976, 1259)	(1004, 1259)	(1004, 1277)	(976, 1277)
image	č		(932, 1293)	(946, 1294)	(945, 1315)	(931, 1314)
image	.		(949, 1294)	(958, 1295)	(957, 1316)	(948, 1315)
image	neg		(976, 1296)	(1021, 1299)	(1019, 1320)	(975, 1317)
image	.		(1022, 1299)	(1030, 1300)	(1029, 1320)	(1021, 1320)
image	51		(932, 1319)	(961, 1319)	(961, 1338)	(932, 1338)
image	116		(976, 1319)	(1017, 1319)	(1017, 1337)	(976, 1337)
image	Sonda		(160, 1410)	(234, 1410)	(234, 1434)	(160, 1434)
image	2c		(250, 1410)	(277, 1410)	(277, 1434)	(250, 1434)
image	(		(295, 1410)	(306, 1410)	(306, 1434)	(295, 1434)
image	1974		(309, 1410)	(364, 1410)	(364, 1434)	(309, 1434)
image	)		(369, 1410)	(379, 1410)	(379, 1434)	(369, 1434)
image	.		(386, 1410)	(392, 1410)	(392, 1434)	(386, 1434)
image	Povrch		(411, 1410)	(501, 1410)	(501, 1435)	(411, 1435)
image	destrukce		(516, 1411)	(646, 1412)	(646, 1436)	(516, 1435)
image	vnitřní		(661, 1411)	(766, 1411)	(766, 1436)	(661, 1436)
