IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"1
Obr. 35
č.neg.AÚ
81 991
2
č.neg.AU 81 994
Sonda 2b-2c (1974). Keramika libické provenience: tzv. keramika
slavníkovské fáze z 10. století. 1 - sonda 2c, destrukce vnitřní
hradební zdi, (139/74); 2 sonda 2b, vrstva 3 (70/74).
Foto: V. Jílkova."	cs	(151, 33)	(1132, 33)	(1132, 1591)	(151, 1591)
image	1		(939, 406)	(958, 406)	(958, 423)	(939, 423)
image	Obr		(1024, 36)	(1065, 35)	(1066, 56)	(1025, 57)
image	.		(1069, 35)	(1079, 35)	(1080, 55)	(1070, 55)
image	35		(1104, 34)	(1131, 33)	(1132, 53)	(1105, 54)
image	č.neg.AÚ		(941, 439)	(1057, 438)	(1057, 463)	(941, 464)
image	81		(942, 465)	(970, 465)	(970, 485)	(942, 485)
image	991		(983, 465)	(1030, 465)	(1030, 485)	(983, 485)
image	2		(1008, 1344)	(1026, 1344)	(1026, 1362)	(1008, 1362)
image	č.neg.AU		(892, 1373)	(1011, 1375)	(1010, 1403)	(892, 1401)
image	81		(1026, 1376)	(1054, 1376)	(1054, 1403)	(1026, 1403)
image	994		(1068, 1376)	(1114, 1377)	(1113, 1405)	(1068, 1404)
image	Sonda		(151, 1492)	(227, 1493)	(227, 1518)	(151, 1517)
image	2b		(242, 1492)	(270, 1492)	(270, 1517)	(242, 1517)
image	-		(272, 1492)	(285, 1492)	(285, 1517)	(272, 1517)
image	2c		(286, 1493)	(315, 1493)	(315, 1518)	(286, 1518)
image	(		(333, 1493)	(342, 1493)	(342, 1518)	(333, 1518)
image	1974		(345, 1493)	(403, 1493)	(403, 1518)	(345, 1518)
image	)		(407, 1494)	(416, 1494)	(416, 1519)	(407, 1519)
image	.		(423, 1494)	(431, 1494)	(431, 1519)	(423, 1519)
image	Keramika		(462, 1494)	(581, 1495)	(581, 1520)	(462, 1519)
image	libické		(598, 1495)	(699, 1496)	(699, 1522)	(598, 1521)
image	provenience		(716, 1496)	(875, 1497)	(875, 1522)	(716, 1521)
image	:		(882, 1497)	(888, 1497)	(888, 1522)	(882, 1522)
image	tzv		(908, 1498)	(949, 1498)	(949, 1523)	(908, 1523)
image	.		(954, 1498)	(961, 1498)	(961, 1523)	(954, 1523)
image	keramika		(980, 1498)	(1099, 1499)	(1099, 1525)	(980, 1524)
image	slavníkovské		(153, 1517)	(328, 1518)	(328, 1543)	(153, 1542)
image	fáze		(344, 1519)	(403, 1519)	(403, 1543)	(344, 1543)
image	z		(421, 1519)	(432, 1519)	(432, 1543)	(421, 1543)
image	10.		(450, 1519)	(490, 1519)	(490, 1544)	(450, 1544)
image	století		(494, 1519)	(595, 1520)	(595, 1545)	(494, 1544)
image	.		(600, 1520)	(607, 1520)	(607, 1544)	(600, 1544)
image	1		(639, 1521)	(653, 1521)	(653, 1545)	(639, 1545)
image	-		(670, 1521)	(684, 1521)	(684, 1545)	(670, 1545)
image	sonda		(700, 1521)	(774, 1521)	(774, 1546)	(700, 1546)
image	2c		(788, 1522)	(817, 1522)	(817, 1546)	(788, 1546)
image	,		(822, 1522)	(829, 1522)	(829, 1546)	(822, 1546)
image	destrukce		(848, 1522)	(978, 1523)	(978, 1548)	(848, 1547)
image	vnitřní		(994, 1523)	(1097, 1524)	(1097, 1549)	(994, 1548)
image	hradební		(152, 1540)	(270, 1541)	(270, 1565)	(152, 1564)
image	zdi		(287, 1542)	(328, 1542)	(328, 1565)	(287, 1565)
image	,		(335, 1542)	(344, 1542)	(344, 1565)	(335, 1565)
image	(		(348, 1543)	(358, 1543)	(358, 1566)	(348, 1566)
image	139/74		(359, 1542)	(447, 1543)	(447, 1567)	(359, 1566)
image	)		(450, 1544)	(462, 1544)	(462, 1567)	(450, 1567)
image	;		(466, 1544)	(476, 1544)	(476, 1567)	(466, 1567)
image	2		(507, 1541)	(523, 1541)	(523, 1568)	(507, 1568)
image	sonda		(567, 1541)	(641, 1541)	(641, 1568)	(567, 1568)
image	2b		(655, 1541)	(686, 1541)	(686, 1568)	(655, 1568)
image	,		(689, 1541)	(695, 1541)	(695, 1568)	(689, 1568)
image	vrstva		(714, 1542)	(804, 1542)	(804, 1569)	(714, 1569)
image	3		(820, 1542)	(834, 1542)	(834, 1569)	(820, 1569)
image	(		(851, 1542)	(860, 1542)	(860, 1569)	(851, 1569)
image	70/74		(862, 1542)	(937, 1542)	(937, 1570)	(862, 1570)
image	)		(937, 1543)	(950, 1543)	(950, 1570)	(937, 1570)
image	.		(952, 1543)	(963, 1543)	(963, 1570)	(952, 1570)
image	Foto		(155, 1564)	(196, 1564)	(196, 1588)	(155, 1588)
image	:		(204, 1564)	(212, 1564)	(212, 1587)	(204, 1587)
image	V.		(225, 1564)	(245, 1564)	(245, 1587)	(225, 1587)
image	Jílkova		(250, 1563)	(339, 1562)	(339, 1586)	(250, 1587)
image	.		(341, 1563)	(350, 1563)	(350, 1586)	(341, 1586)
