IMAGE_NAME	DESCRIPTION	LANGUAGE	BBOX_1	BBOX_2	BBOX_3	BBOX_4
image	"situace povrch
A
situace 0-20 cm
Jorzy
situace 20-40 cm
A
19a
24
76
0
12
12
13
19
Ka
19
O
00
2466
B
¹8
B
B
1 m"	cs	(100, 23)	(731, 23)	(731, 1303)	(100, 1303)
image	situace		(110, 34)	(198, 36)	(197, 62)	(110, 60)
image	povrch		(207, 36)	(289, 38)	(289, 64)	(207, 62)
image	A		(100, 87)	(120, 87)	(120, 105)	(100, 105)
image	situace		(109, 405)	(198, 406)	(198, 428)	(109, 427)
image	0-20		(206, 407)	(261, 408)	(261, 429)	(206, 428)
image	cm		(269, 407)	(305, 407)	(305, 428)	(269, 428)
image	Jorzy		(237, 498)	(340, 496)	(342, 582)	(239, 584)
image	situace		(111, 797)	(199, 798)	(199, 820)	(111, 819)
image	20-40		(207, 798)	(279, 799)	(279, 821)	(207, 820)
image	cm		(287, 799)	(323, 799)	(323, 820)	(287, 820)
image	A		(107, 850)	(124, 850)	(124, 867)	(107, 867)
image	19a		(347, 171)	(386, 172)	(385, 189)	(346, 188)
image	24		(394, 126)	(423, 126)	(423, 144)	(394, 144)
image	76		(388, 1291)	(405, 1291)	(405, 1303)	(388, 1303)
image	0		(413, 1247)	(425, 1247)	(425, 1261)	(413, 1261)
image	12		(458, 614)	(484, 614)	(484, 631)	(458, 631)
image	12		(502, 269)	(529, 269)	(529, 286)	(502, 286)
image	13		(488, 997)	(514, 997)	(514, 1014)	(488, 1014)
image	19		(494, 1061)	(519, 1061)	(519, 1080)	(494, 1080)
image	Ka		(601, 497)	(629, 497)	(629, 514)	(601, 514)
image	19		(582, 656)	(604, 659)	(602, 674)	(580, 671)
image	O		(597, 934)	(614, 934)	(614, 947)	(597, 947)
image	00		(637, 524)	(642, 564)	(625, 566)	(619, 526)
image	2466		(652, 24)	(714, 23)	(714, 44)	(652, 45)
image	B		(707, 84)	(726, 84)	(726, 101)	(707, 101)
image	¹8		(704, 107)	(719, 107)	(719, 119)	(704, 119)
image	B		(713, 461)	(731, 461)	(731, 477)	(713, 477)
image	B		(711, 849)	(728, 849)	(728, 866)	(711, 866)
image	1		(692, 1248)	(702, 1249)	(701, 1262)	(691, 1261)
image	m		(707, 1248)	(725, 1249)	(724, 1262)	(706, 1261)
